Sibaté,37.711,38.412,39.117,39.817
Guaduas,37.688,38.366,39.063,39.748
Villa de San Diego de Ubate,38.607,38.809,39.018,39.205
Tocancipá,31.146,31.975,32.821,33.677
La Mesa,30.889,31.350,31.823,32.300
La Calera,27.169,27.527,27.878,28.225
Tabio,26.391,27.033,27.702,28.373
Pacho,26.987,27.179,27.388,27.584
Sopó,26.187,26.769,27.339,27.932
Chocontá,24.620,25.257,25.895,26.562
Cota,24.406,24.916,25.432,25.945
Villeta,25.061,25.164,25.270,25.381
Cogua,21.932,22.361,22.786,23.214
Silvania,21.939,21.984,22.020,22.052
El Colegio,21.713,21.832,21.949,22.060
Villapinzón,19.411,19.742,20.056,20.391
Tenjo,19.736,19.849,19.963,20.070
Puerto Salgar,18.367,18.688,19.009,19.337
Nilo,17.924,18.384,18.856,19.328
Tocaima,18.287,18.387,18.501,18.601
Suesca,16.987,17.318,17.660,18.011
El Rosal,16.876,17.254,17.648,18.045
Caqueza,16.971,17.048,17.129,17.214
Yacopí,16.897,16.951,17.010,17.067
Caparrapí,16.675,16.691,16.710,16.720
Subachoque,15.790,16.117,16.435,16.750
Guasca,14.520,14.759,15.003,15.246
Gachancipá,14.058,14.442,14.831,15.223
Sesquilé,13.473,13.936,14.410,14.912
La Vega,14.145,14.230,14.326,14.413
Nemocón,13.269,13.488,13.707,13.922
Anapoima,13.106,13.312,13.514,13.713
Viotá,13.352,13.351,13.342,13.339
Simijaca,12.851,13.077,13.295,13.516
San Antonio del Tequendama,13.020,13.084,13.148,13.209
Susa,12.023,12.302,12.592,12.887
Arbeláez,12.247,12.292,12.330,12.374
Pasca,12.073,12.175,12.271,12.378
Fomeque,12.206,12.214,12.234,12.231
Anolaima,12.407,12.311,12.210,12.110
Bojacá,11.254,11.555,11.845,12.140
Guachetá,11.398,11.385,11.372,11.360
Gachetá,11.017,11.086,11.163,11.236
Agua de Dios,11.083,10.995,10.910,10.823
La Palma,10.643,10.727,10.824,10.912
Sasaima,10.632,10.688,10.742,10.778
San Bernardo,10.636,10.670,10.705,10.745
Choachí,10.781,10.729,10.680,10.614
Ubalá,10.843,10.718,10.591,10.467
Lenguazaque,10.217,10.268,10.305,10.352
Medina,10.079,10.108,10.134,10.162
Cachipay,9.854,9.833,9.811,9.788
San Francisco,9.451,9.586,9.732,9.872
San Juan de Río Seco,9.674,9.670,9.668,9.668
Ricaurte,9.314,9.441,9.579,9.711
Une,9.077,9.196,9.316,9.435
Carmen de Carupa,9.031,9.109,9.191,9.276
Tena,8.804,8.941,9.083,9.223
Tausa,8.697,8.801,8.905,9.006
Granada,8.498,8.685,8.877,9.059
Junín,8.589,8.610,8.644,8.672
Chipaque,8.400,8.400,8.400,8.401
Quipile,8.161,8.164,8.168,8.150
Nocaima,7.967,8.004,8.055,8.111
Apulo,7.812,7.812,7.812,7.812
Paratebueno,7.698,7.726,7.754,7.782
Vergara,7.671,7.677,7.684,7.704
Fosca,7.422,7.524,7.630,7.740
Cucunubá,7.433,7.479,7.521,7.561
Quetame,7.090,7.141,7.193,7.241
La Peña,7.024,7.029,7.035,7.040
Guatavita,6.874,6.898,6.924,6.935
Nimaima,6.546,6.679,6.810,6.947
Macheta,6.364,6.316,6.272,6.226
Ubaque,6.247,6.166,6.106,6.036
Albán,5.956,5.956,5.956,5.956
Gachala,5.731,5.715,5.701,5.687
Pandi,5.633,5.658,5.676,5.697
Fúquene,5.567,5.617,5.669,5.723
Sutatausa,5.490,5.564,5.643,5.725
Zipacón,5.517,5.570,5.631,5.695
San Cayetano,5.340,5.344,5.348,5.351
Supatá,5.018,5.022,5.033,5.027
Útica,4.995,5.008,5.016,5.023
Guayabetal,4.921,4.931,4.959,4.984
Tibacuy,4.821,4.828,4.831,4.822
El Peñón,4.818,4.805,4.807,4.786
Quebradanegra,4.733,4.738,4.745,4.759
Manta,4.697,4.719,4.732,4.754
Topaipí,4.549,4.529,4.513,4.504
Cabrera,4.520,4.499,4.478,4.456
Paime,4.589,4.502,4.407,4.339
Vianí,4.181,4.191,4.202,4.214
Gutiérrez,4.037,4.097,4.174,4.242
Venecia,4.054,4.060,4.070,4.087
Gama,3.980,3.996,4.011,4.028
Chaguaní,3.984,3.981,3.979,3.968
Guayabal de Siquima,3.634,3.638,3.644,3.651
Pulí,2.981,2.999,3.007,3.024
Tibirita,2.945,2.950,2.946,2.943
Jerusalén,2.683,2.679,2.683,2.672
Guataquí,2.612,2.630,2.649,2.669
Bituima,2.537,2.520,2.508,2.500
Beltrán,2.167,2.197,2.228,2.256
Nariño,2.189,2.203,2.218,2.233
Villagómez,2.169,2.171,2.176,2.166
